category,totalestimate
Civilian employed population 16 years and over,4982223
"Management, business, science, and arts occupations:",2809275
"Management, business, and financial occupations:",1039525
Management occupations,674791
Business and financial operations occupations,364734
"Computer, engineering, and science occupations:",868535
Computer and mathematical occupations,482064
Architecture and engineering occupations,239141
"Life, physical, and social science occupations",147330
"Education, legal, community service, arts, and media occupations:",627836
Community and social service occupations,96156
Legal occupations,72531
"Educational instruction, and library occupations",289042
"Arts, design, entertainment, sports, and media occupations",170108
Healthcare practitioners and technical occupations:,273379
Health diagnosing and treating practitioners and other technical occupations,206706
Health technologists and technicians,66673
Service occupations:,738921
Healthcare support occupations,175835
Protective service occupations:,94961
"Firefighting and prevention, and other protective service workers including supervisors",72752
Law enforcement workers including supervisors,22209
Food preparation and serving related occupations,212399
Building and grounds cleaning and maintenance occupations,142860
Personal care and service occupations,112865
Sales and office occupations:,729855
Sales and related occupations,320635
Office and administrative support occupations,409221
"Natural resources, construction, and maintenance occupations:",274175
"Farming, fishing, and forestry occupations",17398
Construction and extraction occupations,153785
"Installation, maintenance, and repair occupations",102992
"Production, transportation, and material moving occupations:",429997
Production occupations,143696
Transportation occupations,147001
Material moving occupations,139300
