category,totalestimate
Civilian employed population 16 years and over,2693334
"Management, business, science, and arts occupations:",1518663
"Management, business, and financial occupations:",561956
Management occupations,364784
Business and financial operations occupations,197171
"Computer, engineering, and science occupations:",469521
Computer and mathematical occupations,260598
Architecture and engineering occupations,129277
"Life, physical, and social science occupations",79645
"Education, legal, community service, arts, and media occupations:",339401
Community and social service occupations,51981
Legal occupations,39209
"Educational instruction, and library occupations",156253
"Arts, design, entertainment, sports, and media occupations",91959
Healthcare practitioners and technical occupations:,147785
Health diagnosing and treating practitioners and other technical occupations,111743
Health technologists and technicians,36042
Service occupations:,399452
Healthcare support occupations,95055
Protective service occupations:,51335
"Firefighting and prevention, and other protective service workers including supervisors",39329
Law enforcement workers including supervisors,12006
Food preparation and serving related occupations,114821
Building and grounds cleaning and maintenance occupations,77229
Personal care and service occupations,61014
Sales and office occupations:,394552
Sales and related occupations,173332
Office and administrative support occupations,221220
"Natural resources, construction, and maintenance occupations:",148216
"Farming, fishing, and forestry occupations",9405
Construction and extraction occupations,83135
"Installation, maintenance, and repair occupations",55676
"Production, transportation, and material moving occupations:",232451
Production occupations,77681
Transportation occupations,79467
Material moving occupations,75304
