category,totalestimate
Civilian employed population 16 years and over,4485650
"Management, business, science, and arts occupations:",2529278
"Management, business, and financial occupations:",935917
Management occupations,607535
Business and financial operations occupations,328382
"Computer, engineering, and science occupations:",781969
Computer and mathematical occupations,434017
Architecture and engineering occupations,215306
"Life, physical, and social science occupations",132646
"Education, legal, community service, arts, and media occupations:",565260
Community and social service occupations,86572
Legal occupations,65302
"Educational instruction, and library occupations",260233
"Arts, design, entertainment, sports, and media occupations",153154
Healthcare practitioners and technical occupations:,246131
Health diagnosing and treating practitioners and other technical occupations,186104
Health technologists and technicians,60027
Service occupations:,665274
Healthcare support occupations,158310
Protective service occupations:,85497
"Firefighting and prevention, and other protective service workers including supervisors",65501
Law enforcement workers including supervisors,19995
Food preparation and serving related occupations,191230
Building and grounds cleaning and maintenance occupations,128621
Personal care and service occupations,101616
Sales and office occupations:,657111
Sales and related occupations,288677
Office and administrative support occupations,368434
"Natural resources, construction, and maintenance occupations:",246848
"Farming, fishing, and forestry occupations",15664
Construction and extraction occupations,138458
"Installation, maintenance, and repair occupations",92727
"Production, transportation, and material moving occupations:",387139
Production occupations,129374
Transportation occupations,132349
Material moving occupations,125416
