category,totalestimate
Civilian employed population 16 years and over,2655814
"Management, business, science, and arts occupations:",1497507
"Management, business, and financial occupations:",554127
Management occupations,359703
Business and financial operations occupations,194425
"Computer, engineering, and science occupations:",462980
Computer and mathematical occupations,256968
Architecture and engineering occupations,127476
"Life, physical, and social science occupations",78536
"Education, legal, community service, arts, and media occupations:",334673
Community and social service occupations,51257
Legal occupations,38663
"Educational instruction, and library occupations",154076
"Arts, design, entertainment, sports, and media occupations",90677
Healthcare practitioners and technical occupations:,145727
Health diagnosing and treating practitioners and other technical occupations,110186
Health technologists and technicians,35540
Service occupations:,393888
Healthcare support occupations,93730
Protective service occupations:,50620
"Firefighting and prevention, and other protective service workers including supervisors",38781
Law enforcement workers including supervisors,11839
Food preparation and serving related occupations,113221
Building and grounds cleaning and maintenance occupations,76153
Personal care and service occupations,60164
Sales and office occupations:,389055
Sales and related occupations,170917
Office and administrative support occupations,218138
"Natural resources, construction, and maintenance occupations:",146151
"Farming, fishing, and forestry occupations",9274
Construction and extraction occupations,81977
"Installation, maintenance, and repair occupations",54901
"Production, transportation, and material moving occupations:",229213
Production occupations,76598
Transportation occupations,78360
Material moving occupations,74255
