category,totalestimate
Civilian employed population 16 years and over,1630745
"Management, business, science, and arts occupations:",919511
"Management, business, and financial occupations:",340250
Management occupations,220868
Business and financial operations occupations,119382
"Computer, engineering, and science occupations:",284283
Computer and mathematical occupations,157786
Architecture and engineering occupations,78274
"Life, physical, and social science occupations",48223
"Education, legal, community service, arts, and media occupations:",205499
Community and social service occupations,31473
Legal occupations,23740
"Educational instruction, and library occupations",94607
"Arts, design, entertainment, sports, and media occupations",55679
Healthcare practitioners and technical occupations:,89480
Health diagnosing and treating practitioners and other technical occupations,67658
Health technologists and technicians,21823
Service occupations:,241858
Healthcare support occupations,57553
Protective service occupations:,31082
"Firefighting and prevention, and other protective service workers including supervisors",23813
Law enforcement workers including supervisors,7269
Food preparation and serving related occupations,69521
Building and grounds cleaning and maintenance occupations,46760
Personal care and service occupations,36942
Sales and office occupations:,238891
Sales and related occupations,104948
Office and administrative support occupations,133943
"Natural resources, construction, and maintenance occupations:",89741
"Farming, fishing, and forestry occupations",5694
Construction and extraction occupations,50336
"Installation, maintenance, and repair occupations",33711
"Production, transportation, and material moving occupations:",140743
Production occupations,47034
Transportation occupations,48115
Material moving occupations,45595
