category,totalestimate
Civilian employed population 16 years and over,5656901
"Management, business, science, and arts occupations:",3189699
"Management, business, and financial occupations:",1180295
Management occupations,766169
Business and financial operations occupations,414126
"Computer, engineering, and science occupations:",986150
Computer and mathematical occupations,547344
Architecture and engineering occupations,271525
"Life, physical, and social science occupations",167281
"Education, legal, community service, arts, and media occupations:",712856
Community and social service occupations,109177
Legal occupations,82352
"Educational instruction, and library occupations",328183
"Arts, design, entertainment, sports, and media occupations",193144
Healthcare practitioners and technical occupations:,310399
Health diagnosing and treating practitioners and other technical occupations,234698
Health technologists and technicians,75701
Service occupations:,838984
Healthcare support occupations,199646
Protective service occupations:,107821
"Firefighting and prevention, and other protective service workers including supervisors",82604
Law enforcement workers including supervisors,25217
Food preparation and serving related occupations,241162
Building and grounds cleaning and maintenance occupations,162206
Personal care and service occupations,128149
Sales and office occupations:,828690
Sales and related occupations,364054
Office and administrative support occupations,464636
"Natural resources, construction, and maintenance occupations:",311303
"Farming, fishing, and forestry occupations",19753
Construction and extraction occupations,174611
"Installation, maintenance, and repair occupations",116939
"Production, transportation, and material moving occupations:",488225
Production occupations,163155
Transportation occupations,166907
Material moving occupations,158163
