category,totalestimate
Civilian employed population 16 years and over,9461557
"Management, business, science, and arts occupations:",5334991
"Management, business, and financial occupations:",1974124
Management occupations,1281470
Business and financial operations occupations,692654
"Computer, engineering, and science occupations:",1649404
Computer and mathematical occupations,915470
Architecture and engineering occupations,454144
"Life, physical, and social science occupations",279790
"Education, legal, community service, arts, and media occupations:",1192300
Community and social service occupations,182606
Legal occupations,137740
"Educational instruction, and library occupations",548908
"Arts, design, entertainment, sports, and media occupations",323046
Healthcare practitioners and technical occupations:,519163
Health diagnosing and treating practitioners and other technical occupations,392548
Health technologists and technicians,126615
Service occupations:,1403258
Healthcare support occupations,333922
Protective service occupations:,180338
"Firefighting and prevention, and other protective service workers including supervisors",138161
Law enforcement workers including supervisors,42176
Food preparation and serving related occupations,403359
Building and grounds cleaning and maintenance occupations,271300
Personal care and service occupations,214338
Sales and office occupations:,1386042
Sales and related occupations,608906
Office and administrative support occupations,777136
"Natural resources, construction, and maintenance occupations:",520676
"Farming, fishing, and forestry occupations",33039
Construction and extraction occupations,292048
"Installation, maintenance, and repair occupations",195588
"Production, transportation, and material moving occupations:",816591
Production occupations,272888
Transportation occupations,279163
Material moving occupations,264539
