category,totalestimate
Civilian employed population 16 years and over,3070122
"Management, business, science, and arts occupations:",1731118
"Management, business, and financial occupations:",640571
Management occupations,415816
Business and financial operations occupations,224755
"Computer, engineering, and science occupations:",535205
Computer and mathematical occupations,297055
Architecture and engineering occupations,147362
"Life, physical, and social science occupations",90787
"Education, legal, community service, arts, and media occupations:",386882
Community and social service occupations,59253
Legal occupations,44694
"Educational instruction, and library occupations",178112
"Arts, design, entertainment, sports, and media occupations",104823
Healthcare practitioners and technical occupations:,168460
Health diagnosing and treating practitioners and other technical occupations,127375
Health technologists and technicians,41085
Service occupations:,455334
Healthcare support occupations,108352
Protective service occupations:,58517
"Firefighting and prevention, and other protective service workers including supervisors",44831
Law enforcement workers including supervisors,13686
Food preparation and serving related occupations,130884
Building and grounds cleaning and maintenance occupations,88033
Personal care and service occupations,69549
Sales and office occupations:,449748
Sales and related occupations,197580
Office and administrative support occupations,252168
"Natural resources, construction, and maintenance occupations:",168951
"Farming, fishing, and forestry occupations",10721
Construction and extraction occupations,94765
"Installation, maintenance, and repair occupations",63465
"Production, transportation, and material moving occupations:",264970
Production occupations,88548
Transportation occupations,90584
Material moving occupations,85839
