category,totalestimate
Civilian employed population 16 years and over,4204384
"Management, business, science, and arts occupations:",2370683
"Management, business, and financial occupations:",877231
Management occupations,569440
Business and financial operations occupations,307791
"Computer, engineering, and science occupations:",732937
Computer and mathematical occupations,406803
Architecture and engineering occupations,201806
"Life, physical, and social science occupations",124329
"Education, legal, community service, arts, and media occupations:",529816
Community and social service occupations,81144
Legal occupations,61207
"Educational instruction, and library occupations",243916
"Arts, design, entertainment, sports, and media occupations",143550
Healthcare practitioners and technical occupations:,230698
Health diagnosing and treating practitioners and other technical occupations,174435
Health technologists and technicians,56263
Service occupations:,623559
Healthcare support occupations,148383
Protective service occupations:,80136
"Firefighting and prevention, and other protective service workers including supervisors",61394
Law enforcement workers including supervisors,18742
Food preparation and serving related occupations,179239
Building and grounds cleaning and maintenance occupations,120556
Personal care and service occupations,95244
Sales and office occupations:,615908
Sales and related occupations,270576
Office and administrative support occupations,345332
"Natural resources, construction, and maintenance occupations:",231370
"Farming, fishing, and forestry occupations",14681
Construction and extraction occupations,129776
"Installation, maintenance, and repair occupations",86913
"Production, transportation, and material moving occupations:",362864
Production occupations,121262
Transportation occupations,124050
Material moving occupations,117552
