category,totalestimate
Civilian employed population 16 years and over,7228879
"Management, business, science, and arts occupations:",4076074
"Management, business, and financial occupations:",1508283
Management occupations,979077
Business and financial operations occupations,529206
"Computer, engineering, and science occupations:",1260188
Computer and mathematical occupations,699443
Architecture and engineering occupations,346978
"Life, physical, and social science occupations",213767
"Education, legal, community service, arts, and media occupations:",910949
Community and social service occupations,139516
Legal occupations,105237
"Educational instruction, and library occupations",419380
"Arts, design, entertainment, sports, and media occupations",246816
Healthcare practitioners and technical occupations:,396655
Health diagnosing and treating practitioners and other technical occupations,299917
Health technologists and technicians,96738
Service occupations:,1072126
Healthcare support occupations,255125
Protective service occupations:,137783
"Firefighting and prevention, and other protective service workers including supervisors",105559
Law enforcement workers including supervisors,32224
Food preparation and serving related occupations,308177
Building and grounds cleaning and maintenance occupations,207281
Personal care and service occupations,163760
Sales and office occupations:,1058972
Sales and related occupations,465220
Office and administrative support occupations,593752
"Natural resources, construction, and maintenance occupations:",397810
"Farming, fishing, and forestry occupations",25243
Construction and extraction occupations,223133
"Installation, maintenance, and repair occupations",149435
"Production, transportation, and material moving occupations:",623897
Production occupations,208494
Transportation occupations,213288
Material moving occupations,202115
