category,totalestimate
Civilian employed population 16 years and over,17960212
"Management, business, science, and arts occupations:",10127041
"Management, business, and financial occupations:",3747341
Management occupations,2432525
Business and financial operations occupations,1314816
"Computer, engineering, and science occupations:",3130948
Computer and mathematical occupations,1737773
Architecture and engineering occupations,862070
"Life, physical, and social science occupations",531105
"Education, legal, community service, arts, and media occupations:",2263261
Community and social service occupations,346628
Legal occupations,261462
"Educational instruction, and library occupations",1041954
"Arts, design, entertainment, sports, and media occupations",613216
Healthcare practitioners and technical occupations:,985492
Health diagnosing and treating practitioners and other technical occupations,745146
Health technologists and technicians,240345
Service occupations:,2663706
Healthcare support occupations,633861
Protective service occupations:,342322
"Firefighting and prevention, and other protective service workers including supervisors",262262
Law enforcement workers including supervisors,80060
Food preparation and serving related occupations,765669
Building and grounds cleaning and maintenance occupations,514991
Personal care and service occupations,406863
Sales and office occupations:,2631026
Sales and related occupations,1155843
Office and administrative support occupations,1475183
"Natural resources, construction, and maintenance occupations:",988362
"Farming, fishing, and forestry occupations",62716
Construction and extraction occupations,554375
"Installation, maintenance, and repair occupations",371271
"Production, transportation, and material moving occupations:",1550077
Production occupations,518004
Transportation occupations,529916
Material moving occupations,502156
