category,totalestimate
Civilian employed population 16 years and over,8312715
"Management, business, science, and arts occupations:",4687206
"Management, business, and financial occupations:",1734422
Management occupations,1125871
Business and financial operations occupations,608550
"Computer, engineering, and science occupations:",1449130
Computer and mathematical occupations,804312
Architecture and engineering occupations,399001
"Life, physical, and social science occupations",245817
"Education, legal, community service, arts, and media occupations:",1047529
Community and social service occupations,160433
Legal occupations,121015
"Educational instruction, and library occupations",482259
"Arts, design, entertainment, sports, and media occupations",283821
Healthcare practitioners and technical occupations:,456126
Health diagnosing and treating practitioners and other technical occupations,344884
Health technologists and technicians,111242
Service occupations:,1232871
Healthcare support occupations,293377
Protective service occupations:,158441
"Firefighting and prevention, and other protective service workers including supervisors",121386
Law enforcement workers including supervisors,37055
Food preparation and serving related occupations,354383
Building and grounds cleaning and maintenance occupations,238359
Personal care and service occupations,188313
Sales and office occupations:,1217746
Sales and related occupations,534971
Office and administrative support occupations,682774
"Natural resources, construction, and maintenance occupations:",457454
"Farming, fishing, and forestry occupations",29027
Construction and extraction occupations,256587
"Installation, maintenance, and repair occupations",171839
"Production, transportation, and material moving occupations:",717438
Production occupations,239753
Transportation occupations,245267
Material moving occupations,232418
